State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid & Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13097,Douglas County,73,0,0,0,0,0,0,38,345,0,0,0,0,20,0,0,0,0,0,66,84,55,56,0,786
GA,13099,Early County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13101,Echols County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13103,Effingham County,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,2,6,32,0,0,6
GA,13105,Elbert County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
GA,13107,Emanuel County,0,0,0,0,0,0,0,0,29,0,0,0,0,22,0,0,0,0,0,0,2,20,0,0,209
GA,13109,Evans County,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,20,9,0,7,0,4,24,0,35
GA,13111,Fannin County,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,72
GA,13113,Fayette County,0,0,0,0,0,0,0,59,280,37,0,34,0,40,0,0,0,0,0,7,80,288,96,0,820
GA,13115,Floyd County,24,0,0,0,0,40,0,6,62,0,0,0,0,35,0,6,0,0,0,27,43,74,25,0,679
GA,13117,Forsyth County,44,8,5,0,0,0,0,90,686,37,0,29,0,5,44,0,0,0,25,98,272,470,93,4,30
GA,13119,Franklin County,2,0,0,0,0,0,0,0,34,0,0,0,0,9,0,0,0,0,0,0,6,30,0,0,780
GA,13121,Fulton County,703,228,88,44,0,0,78,803,5223,302,422,255,22,47,68,0,5,2,290,445,2583,3404,302,9,6558
GA,13123,Gilmer County,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,53
GA,13125,Glascock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13127,Glynn County,30,0,0,0,0,0,0,9,27,0,0,0,0,6,0,0,0,0,0,40,54,5,40,0,3
GA,13129,Gordon County,0,0,0,0,0,0,0,23,45,0,0,0,0,0,0,0,0,0,0,9,20,50,9,0,80
GA,13131,Grady County,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,0,39,0,0,52
GA,13133,Greene County,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,8,0,0,0,0,0,6,9,0,68
GA,13135,Gwinnett County,326,86,80,9,48,0,32,453,739,59,25,297,62,362,40,5,37,36,47,808,76,938,709,59,5440
GA,13137,Habersham County,0,0,0,0,0,0,0,0,75,2,0,0,0,0,0,0,0,0,0,0,2,20,3,0,89
GA,13139,Hall County,55,2,0,0,0,0,4,76,349,9,0,22,0,47,0,0,0,0,0,26,80,296,95,0,2555
GA,13141,Hancock County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13143,Haralson County,0,0,0,0,0,0,0,0,44,0,0,0,0,40,0,0,0,0,0,4,9,33,0,0,53
GA,13145,Harris County,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,45
GA,13147,Hart County,0,0,0,0,62,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,799
GA,13149,Heard County,0,0,0,0,0,36,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13151,Henry County,5,0,0,0,0,0,0,27,36,0,0,0,0,23,0,0,0,0,0,56,79,49,56,8069,885
GA,13153,Houston County,80,0,0,0,0,0,0,40,303,9,0,3,0,38,0,0,0,0,0,68,0,64,58,0,370
GA,13155,Irwin County,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
GA,13157,Jackson County,30,0,0,0,0,0,0,5,392,4,0,0,0,3,0,0,0,0,0,42,53,8,40,0,209
GA,13159,Jasper County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,4
GA,13161,Jeff Davis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,367
GA,13163,Jefferson County,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,0,47
GA,13165,Jenkins County,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13167,Johnson County,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
GA,13169,Jones County,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,32
GA,13171,Lamar County,0,0,0,0,0,0,0,0,58,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,72
GA,13173,Lanier County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13175,Laurens County,0,0,0,0,0,0,0,2,207,0,0,0,0,0,0,0,0,0,0,24,35,62,29,0,94
GA,13177,Lee County,74,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,7,36,5,0,7
GA,13179,Liberty County,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,34
GA,13181,Lincoln County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0
GA,13183,Long County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13185,Lowndes County,0,0,0,0,0,0,0,46,258,0,0,3,0,54,0,6,0,0,0,76,0,200,77,0,530
GA,13187,Lumpkin County,3,0,0,0,0,0,0,0,39,0,0,0,0,98,0,0,0,0,0,0,3,38,0,0,36
GA,13189,McDuffie County,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,20,37,5,0,77
GA,13191,McIntosh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13193,Macon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
GA,13195,Madison County,246,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,66
GA,13197,Marion County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
GA,13199,Meriwether County,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,340
GA,13201,Miller County,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13205,Mitchell County,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
GA,13207,Monroe County,0,0,0,0,20,55,0,0,74,0,0,0,0,0,0,6,0,0,0,4,5,35,0,0,0
GA,13209,Montgomery County,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,82
GA,13211,Morgan County,77,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,65
GA,13213,Murray County,0,0,0,0,0,0,0,0,2,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,60
GA,13215,Muscogee County,50,0,0,0,0,0,0,47,365,2,0,4,0,40,0,0,0,0,0,9,49,282,97,0,937
GA,13217,Newton County,0,0,0,0,0,0,0,26,289,0,0,0,0,7,0,0,0,0,0,40,57,0,35,0,746
GA,13219,Oconee County,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,20,25,45,9,0,43
GA,13221,Oglethorpe County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GA,13223,Paulding County,5,0,0,0,0,0,0,33,4,2,0,0,0,9,0,0,0,0,0,50,72,40,49,0,337
GA,13225,Peach County,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,2039
GA,13227,Pickens County,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,7,28,2,0,58
GA,13229,Pierce County,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,25,0,0,0,0,0,20,0,0,66
GA,13231,Pike County,9,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,38
GA,13233,Polk County,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,238
GA,13235,Pulaski County,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13237,Putnam County,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,90
GA,13239,Quitman County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13241,Rabun County,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,32
GA,13243,Randolph County,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2
GA,13245,Richmond County,46,2,0,0,0,0,0,63,355,8,0,9,0,58,0,9,0,0,6,26,84,332,26,0,0
GA,13247,Rockdale County,28,0,0,0,0,0,0,42,450,63,3,52,0,28,0,0,0,0,0,92,24,234,62,0,436
GA,13249,Schley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
GA,13251,Screven County,0,0,0,0,0,0,0,0,30,0,0,0,0,83,0,30,0,0,0,0,0,39,0,0,44
GA,13253,Seminole County,46,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GA,13255,Spalding County,5,0,0,0,0,0,2,25,67,0,0,0,0,0,0,0,0,0,0,40,60,3,7,0,336
GA,13257,Stephens County,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,47,0,0,65
GA,13259,Stewart County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GA,13261,Sumter County,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,0,0,0,8,0,20,0,0,5
GA,13263,Talbot County,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13265,Taliaferro County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13267,Tattnall County,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2
GA,13269,Taylor County,0,0,0,0,20,0,0,0,57,0,0,0,0,0,0,0,0,0,0,8,27,48,0,0,30
GA,13271,Telfair County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
GA,13273,Terrell County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GA,13275,Thomas County,4,0,0,0,0,0,0,0,48,0,0,0,0,4,0,28,0,0,0,29,40,4,24,0,222
GA,13277,Tift County,5,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,27,40,69,3,0,300
GA,13279,Toombs County,0,0,0,0,0,0,0,0,40,2,0,2,0,0,0,9,0,0,0,20,25,46,0,0,95
GA,13281,Towns County,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13283,Treutlen County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13285,Troup County,6,0,0,0,0,0,0,32,60,0,0,0,0,43,0,0,0,0,0,80,3,90,70,0,6974
GA,13287,Turner County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13289,Twiggs County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
GA,13291,Union County,79,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,64
GA,13293,Upson County,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
GA,13295,Walker County,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,593
GA,13297,Walton County,0,0,0,0,3,0,0,40,478,87,8,69,0,20,0,0,0,0,0,65,4,80,74,0,55
GA,13299,Ware County,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,7,0,0,0,5,9,38,4,0,200
GA,13301,Warren County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
GA,13303,Washington County,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,90
GA,13305,Wayne County,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,2,6,32,4,0,90
GA,13307,Webster County,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13309,Wheeler County,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
GA,13311,White County,70,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,3,24,2,0,302
GA,13313,Whitfield County,959,0,0,0,0,0,0,20,204,0,0,4,0,5,0,0,0,0,0,33,48,85,34,0,39
GA,13315,Wilcox County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13317,Wilkes County,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42
GA,13319,Wilkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50
GA,13321,Worth County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
GA,13999,N/A,0,36,47,0,22,0,0,40,686,95,6,78,4,203,35,20,6,5,33,273,500,605,220,20,6
